"result_id","manuscript_item","inputs","preprocessing","configuration","command","intermediate_outputs","final_outputs"
"public_hard_ood","Main hard-OOD table; Table S4","public ACNet and MoleculeACE releases","build target-cluster and scaffold-disjoint pair splits; paired same-input evaluation","five seeds by five folds where applicable","python scripts/run_moleculeace_target_family_pairs.py","paired fold predictions","review_artifact/tables/table_02_acnet_hard_ood_main.csv; review_artifact/tables/table_09a_moleculeace_external.csv"
"raw_source","Main raw-source table; Table S5","ChEMBL 36 and BindingDB snapshots identified in SOURCE_SNAPSHOT_MANIFEST.csv","standardize activity relations; construct target-conditioned pairs; purge scaffold and provenance reuse","retrieval 2026-05-18; five seeds by five folds","python scripts/run_chembl_raw_source_temporal_pairs.py; python scripts/run_bindingdb_raw_source_pairs.py","raw activities, pair rows, split records, fold scores","review_artifact/tables/table_03_raw_source_temporal_main.csv"
"splitter_controls","Main splitter table; Tables S2-S3","reconstructed ChEMBL and BindingDB pair rows","run official DataSAIL C2/ECFP assignments and independent LoHi constraints","infeasible solver outcomes retained; no post hoc selection","python scripts/run_official_datasail_exact_split.py; python scripts/run_tkde_lohi_leakage_splits.py","review_artifact/official_datasail/*.csv","review_artifact/tables/table_04_lohi_datasail_style.csv; review_artifact/tables/table_16_official_datasail_exact_split.csv; review_artifact/tables/table_17_official_datasail_multicluster_sensitivity.csv"
"transfer","Main transfer table; Table S11 transfer rows","reconstructed ChEMBL and BindingDB pair rows; historical ChEMBL releases","freeze destination database or future release; apply named purges; compute paired scores","same destination rows within each comparison","python scripts/run_tkde_experiments_5_7.py","cross-database and release fold records","review_artifact/tables/table_05_crossdb_prospective_topk.csv"
"reliability","Main reliability table; Tables S6-S7","frozen out-of-fold prediction scores","fit calibration only on training-fold calibration subset; compute conformal and retained-set diagnostics","20% stratified calibration subset; alpha 0.1 and 0.2","python scripts/run_tkde_raw_reliability.py","calibration-bin and risk-coverage records","review_artifact/tables/table_06a_selective_prediction.csv; review_artifact/tables/table_06b_conformal_prediction.csv; review_artifact/tables/table_14a_p0_p1_calibration_bins.csv; review_artifact/tables/table_14b_p0_p1_risk_coverage.csv"
"sensitivity","Tables S10-S11 sensitivity rows","reconstructed ChEMBL and BindingDB pairs","rebuild labels and curation conditions for threshold, noise, censoring, and exact-relations-only analyses","condition-specific frozen rows; same-input paired comparison","python scripts/run_tkde_experiments_5_7.py","condition-level fold scores","review_artifact/tables/table_07_noise_censoring_sensitivity.csv"
"strong_controls","Main strong-control table; Tables S8-S9","ACNet; MoleculeACE; reconstructed ChEMBL and BindingDB pair rows","evaluate non-neural, pretrained molecular, graph, target/assay-profile, and few-shot controls under declared input protocols","same-input and stronger-input rows kept separate","python scripts/run_tkde_unified_baseline_matrix.py; python scripts/run_internal_graph_cliff_baseline.py","control-specific seed-fold scores","review_artifact/tables/table_08_non_neural_baselines.csv; review_artifact/tables/table_09b_mtpnet_controls.csv; review_artifact/tables/table_10a_acnet_neural_controls.csv; review_artifact/tables/table_10b_target_assay_pretraining_controls.csv; review_artifact/tables/table_10c_few_pretrained_representations.csv"
"statistical_effects","Main paired-effects table; Table S10","matched seed-fold result rows","compute paired deltas, confidence intervals, and Holm-adjusted tests","paired runs only; family-wise adjustment within declared block","python scripts/run_tkde_statistical_effects.py","paired comparison matrix","review_artifact/tables/table_11_statistical_effects.csv"
"biological_bootstrap","Tables S12-S13","reconstructed ChEMBL and BindingDB pair rows","generate five-seed out-of-fold scores; average each pair across seeds; recompute pooled ROC-AUC after resampling targets or target clusters","two contracts; 2,000 replicates; bootstrap seed 20260911","python scripts/run_target_unit_bootstrap.py --help","review_artifact/tables/*target*bootstrap_target_level.csv","review_artifact/tables/table_18_biological_unit_bootstrap.csv; review_artifact/tables/table_20_target_level_distribution.csv; review_artifact/tables/table_21_target_distribution_summary.csv"
"target_membership","Table S14","reconstructed ChEMBL and BindingDB activities and pair rows","encode canonical protein sequences with 20 composition features and 128 hashed dipeptide/tripeptide bins; standardize; Euclidean KMeans","k=10; random seed 31337; n_init=20; source-local labels","python scripts/export_target_cluster_membership.py --help","target-to-cluster maps","review_artifact/tables/table_19_target_cluster_membership.csv"
"snapshot_identity","Table S15","cached ChEMBL and BindingDB activities and derived pair rows","compute SHA-256 over each complete cached object","retrieval 2026-05-18; ChEMBL 36; BindingDB endpoint had no release field","sha256sum <cached-object>","SOURCE_SNAPSHOT_MANIFEST.csv","SOURCE_SNAPSHOT_MANIFEST.csv"
"software_environment","Table S16","frozen main and DataSAIL environments","record interpreter and package versions","two separate environments","python --version; python -m pip freeze","SOFTWARE_ENVIRONMENT.csv","SOFTWARE_ENVIRONMENT.csv"
